categoria,tipo,bairro,cidade,endereco,valor,dia/mes,metragem,quartos,banheiros,vagas,link,timestamp
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,600,dia,56,1,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-jurere-internacional-florianopolis-56m2-id-2752019502/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,1500,dia,106,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-106m2-id-2657450887/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1500,dia,98,3,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-98m2-id-2738908913/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1150,dia,85,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-85m2-id-2736042144/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,900,dia,85,2,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-85m2-id-2752019501/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,900,dia,94,2,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-94m2-id-2752018411/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1500,dia,70,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-70m2-id-2657446478/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,5590,mês,68,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-68m2-id-2575435986/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1800,dia,110,3,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-110m2-id-2657448900/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1500,dia,75,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-75m2-id-2657450770/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,180,dia,50,1,1,0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jurere-internacional-florianopolis-50m2-id-2484009006/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,14300,mês,105,2,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-105m2-id-2746053107/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,16000,mês,170,4,4,3,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-mobiliado-jurere-internacional-florianopolis-170m2-id-2611973499/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,16000,mês,170,3,4,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-170m2-id-2612620097/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,,6050,mês,72,2,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-72m2-id-2739322722/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,650,dia,60,1,1,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-jurere-internacional-florianopolis-60m2-id-2669188994/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,3450,dia,100,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2657449868/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Raias,1000,dia,85,2,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-jurere-internacional-florianopolis-85m2-id-2744839502/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Piraúnas,16000,mês,147,2,3,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-147m2-id-2641410039/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Lagostas,7900,mês,120,3,4,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-120m2-id-2715409297/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Dourados,7300,mês,105,3,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-churrasqueira-jurere-internacional-florianopolis-105m2-id-2760978413/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1870,dia,100,2,2,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2657452460/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1800,dia,120,3,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-120m2-id-2657449578/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Rua das Castanhetas,1800,dia,79,2,3,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-79m2-id-2708920461/,2024-12-20 20:09:54
aluguel,apartamento,Ingleses do Rio Vermelho,Florianópolis,Rua Caminho do Sol,13000,mês,90,2,3,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-ingleses-do-rio-vermelho-florianopolis-90m2-id-2700103696/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida das Lagostas,9500,mês,128,3,5,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-128m2-id-2739601542/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Búzios,1600,dia,76,2,1,2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jurere-internacional-florianopolis-76m2-id-2752019107/,2024-12-20 20:09:54
aluguel,apartamento,Jurerê Internacional,Florianópolis,Avenida dos Salmões,1600,dia,80,3,2,1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-jurere-internacional-florianopolis-80m2-id-2669188993/,2024-12-20 20:09:54
