titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Centro, Florianópolis",R$ 4.600.000,226 m²,4,4,2,Rua Esteves Júnior,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-centro-florianopolis-sc-226m2-id-2694305780/,venda,apartamento,2024-12-26 01:03:42
"Centro, Florianópolis",R$ 4.980.000,175 - 468 m²,3 - 4,5 - 6,2 - 3,Rua Felipe Schmidt,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-centro-florianopolis-sc-468m2-id-2689005132/,venda,apartamento,2024-12-26 01:03:42
"Centro, Florianópolis",R$ 1.800.000,170 m²,4,1,3,Rua Altamiro Guimarães,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-centro-florianopolis-sc-170m2-id-2728488819/,venda,apartamento,2024-12-26 01:03:42
"Centro, Florianópolis",R$ 1.150.000,114 m²,4,2,1,Rua Altamiro Guimarães,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-centro-florianopolis-sc-114m2-id-2743093600/,venda,apartamento,2024-12-26 01:03:42
"João Paulo, Florianópolis",R$ 1.600.000,135 m²,4,3,,Rua Júlio Vieira,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-joao-paulo-florianopolis-135m2-id-2766201514/,venda,apartamento,2024-12-26 01:03:42
"Ingleses do Rio Vermelho, Florianópolis",R$ 600.000,140 m²,4,3,2,Servidão Capivari,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-ingleses-do-rio-vermelho-florianopolis-140m2-id-2728065041/,venda,apartamento,2024-12-26 01:03:42
"Bom Abrigo, Florianópolis",R$ 990.000,134 m²,5,2 - 3,2,Rua Fernando Ferreira de Mello,,venda,apartamento,2024-12-26 01:03:42
"Bom Abrigo, Florianópolis",R$ 990.000,134 m²,5,2 - 3,2,Rua Fernando Ferreira de Mello,,venda,apartamento,2024-12-26 01:03:42
"Ingleses do Rio Vermelho, Florianópolis",R$ 640.000,147 m²,4,1,1,Servidão Mares do Norte,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-ingleses-do-rio-vermelho-florianopolis-147m2-id-2529147908/,venda,apartamento,2024-12-26 01:03:42
"Ingleses do Rio Vermelho, Florianópolis",R$ 650.000,226 m²,5,5,3,,https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-ingleses-do-rio-vermelho-florianopolis-226m2-id-2631811064/,venda,apartamento,2024-12-26 01:03:42
"Itacorubi, Florianópolis",R$ 1.480.000,117 m²,4,3,2,Rua Itapiranga,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-itacorubi-florianopolis-117m2-id-2766147439/,venda,apartamento,2024-12-26 01:03:42
"Canto, Florianópolis",R$ 1.595.000,128 m²,4,2,2,Rua Afonso Pena,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-canto-florianopolis-128m2-id-2765574353/,venda,apartamento,2024-12-26 01:03:42
