titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.800/dia,153 m²,3,2,1,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-3-quartos-cachoeira-do-bom-jesus-florianopolis-153m2-id-2765008980/,aluguel,casa,2024-12-24 18:36:09
"José Mendes, Florianópolis",R$ 3.200/mês,80 m²,2,3,1,Rua São Judas Tadeu,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-churrasqueira-jose-mendes-florianopolis-80m2-id-2761351439/,aluguel,casa,2024-12-24 18:36:09
"Jardim Atlântico, Florianópolis",R$ 3.500/mês,111 m²,3,2,2,Servidão Manoel Reis,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-jardim-atlantico-florianopolis-111m2-id-2750332725/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 5.250/dia,470 m²,4,5,2,Avenida dos Búzios,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-470m2-id-2657449426/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.100/dia,120 m²,3,3,2,Servidão Fermino Manoel Zeferino,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-120m2-id-2646151354/,aluguel,casa,2024-12-24 18:36:09
"Cachoeira do Bom Jesus, Florianópolis",R$ 4.000/dia,250 m²,4,3,4,Rua Jardim Estoril,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-churrasqueira-cachoeira-do-bom-jesus-florianopolis-250m2-id-2756435731/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 3.800/dia,320 m²,4,5,4,Rua dos Meros,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-320m2-id-2657449887/,aluguel,casa,2024-12-24 18:36:09
"Coloninha, Florianópolis",R$ 1.900/mês,53 m²,2,1,1,Rua Luiz Gonzaga Valente,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-coloninha-florianopolis-53m2-id-2763209928/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 4.200/mês,110 m²,3,2,3,Servidão Maria Ramos Ouriques,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-ribeirao-da-ilha-florianopolis-110m2-id-2765027337/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.500/dia,100 m²,4,3,3,Rua dos Corais,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-100m2-id-2547605596/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 4.500/dia,300 m²,5,4,2,Rua dos Amborés,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-jurere-internacional-florianopolis-300m2-id-2500160074/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 5.000/dia,380 m²,4,5,2,Rodovia João Gualberto Soares,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-ingleses-do-rio-vermelho-florianopolis-380m2-id-2736224455/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 2.500/dia,200 m²,4,4,3,Servidão Caminho do Mar,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-200m2-id-2544269393/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 400/dia,90 m²,2,2,1,Rua Francisca da Glória,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-90m2-id-2715690397/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.950/dia,10 m²,3,4,2,Rua Fernandes Francisco Coutinho,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-canasvieiras-florianopolis-10m2-id-2514443082/,aluguel,casa,2024-12-24 18:36:09
"Itacorubi, Florianópolis",R$ 6.200/mês,128 m²,3,1,1,Avenida Buriti,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-itacorubi-florianopolis-128m2-id-2764134614/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.100/dia,155 m²,4,4,4,Rua Rodolfo Hickel,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-4-quartos-mobiliado-canasvieiras-florianopolis-155m2-id-2639502357/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 3.520/dia,450 m²,5,2,3,Rua do Lamim,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-canasvieiras-florianopolis-450m2-id-2657449421/,aluguel,casa,2024-12-24 18:36:09
"Ponta das Canas, Florianópolis",R$ 1.500/dia,150 m²,3,3,4,Servidão Manoel Souza,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-ponta-das-canas-florianopolis-150m2-id-2668248905/,aluguel,casa,2024-12-24 18:36:09
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.800/dia,180 m²,4,3,2,Rua Leonel Pereira,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-piscina-cachoeira-do-bom-jesus-florianopolis-180m2-id-2744812812/,aluguel,casa,2024-12-24 18:36:09
"Itacorubi, Florianópolis",R$ 5.200/mês,111 m²,2,2,5,Rua Quilombo,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-itacorubi-florianopolis-111m2-id-2765478385/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 3.500/dia,450 m²,4,5,2,Rua das Guaracemas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-450m2-id-2657449419/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.200/dia,250 m²,3,2,2,Rua das Guarajubas,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-ar-condicionado-jurere-internacional-florianopolis-250m2-id-2571235139/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.600/dia,350 m²,4,3,2,Rua dos Corais,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-350m2-id-2657449425/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 8.000/dia,400 m²,6,6,2,Avenida dos Búzios,,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 8.000/dia,400 m²,6,6,2,Avenida dos Búzios,,aluguel,casa,2024-12-24 18:36:09
"Morro das Pedras, Florianópolis",R$ 3.600/mês,63 m²,2,1,1,Rua Sagrado Coração de Jesus,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-morro-das-pedras-florianopolis-63m2-id-2763240325/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 1.100/dia,220 m²,3,3,3,,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-ingleses-do-rio-vermelho-florianopolis-220m2-id-2755077631/,aluguel,casa,2024-12-24 18:36:09
"São João do Rio Vermelho, Florianópolis",R$ 2.100/mês,50 m²,1,1,2,,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-mobiliado-sao-joao-do-rio-vermelho-florianopolis-50m2-id-2763201639/,aluguel,casa,2024-12-24 18:36:09
"Jurerê, Florianópolis",R$ 3.500/dia,350 m²,6,7,2,Rua dos Cambuatas,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-mobiliado-jurere-florianopolis-350m2-id-2657449892/,aluguel,casa,2024-12-24 18:36:09
"Carianos, Florianópolis",R$ 4.600/mês,136 m²,3,3,2,Rua Ipê Rosa,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-carianos-florianopolis-136m2-id-2761895116/,aluguel,casa,2024-12-24 18:36:09
"Ingleses do Rio Vermelho, Florianópolis",R$ 2.300/mês,550 m²,5,3,5,Servidão Domingos Serafim dos Santos,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-ingleses-do-rio-vermelho-florianopolis-550m2-id-2758659140/,aluguel,casa,2024-12-24 18:36:09
"Vargem do Bom Jesus, Florianópolis",R$ 3.500/mês,442 m²,4,4,2,Rua Fabriciano Inácio Monteiro,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-churrasqueira-vargem-do-bom-jesus-florianopolis-442m2-id-2764748015/,aluguel,casa,2024-12-24 18:36:09
"Cacupé, Florianópolis",R$ 9.000/mês,263 m²,4,5,3,Estrada Haroldo Soares Glavan,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-4-quartos-com-churrasqueira-cacupe-florianopolis-263m2-id-2765634815/,aluguel,casa,2024-12-24 18:36:09
"Campeche, Florianópolis",R$ 3.400/mês,71 m²,2,1,1,Servidão Dona Vitorina Lopes,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-area-de-servico-campeche-florianopolis-71m2-id-2763371731/,aluguel,casa,2024-12-24 18:36:09
"São João do Rio Vermelho, Florianópolis",R$ 4.500/mês,120 m²,3,2,3,Servidão Azaléia Azul,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-sao-joao-do-rio-vermelho-florianopolis-120m2-id-2761500752/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.400/dia,250 m²,3,4,2,Rua dos Amborés,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-jurere-internacional-florianopolis-250m2-id-2531487289/,aluguel,casa,2024-12-24 18:36:09
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.600/dia,100 m²,3,2,,Servidão Gabriel,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-cachoeira-do-bom-jesus-florianopolis-100m2-id-2765008231/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 3.500/dia,250 m²,5,6,,Rua das Garoupas,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-com-churrasqueira-jurere-internacional-florianopolis-250m2-id-2657450579/,aluguel,casa,2024-12-24 18:36:09
"Ribeirão da Ilha, Florianópolis",R$ 3.500/mês,100 m²,2,2,1,Servidão Manoel Juvencio Correa,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-cozinha-ribeirao-da-ilha-florianopolis-100m2-id-2763158032/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.850/dia,280 m²,4,4,3,Rua dos Meros,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-280m2-id-2649458705/,aluguel,casa,2024-12-24 18:36:09
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.690/dia,200 m²,4,2,2,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-cachoeira-do-bom-jesus-florianopolis-200m2-id-2736486519/,aluguel,casa,2024-12-24 18:36:09
"Jurerê Internacional, Florianópolis",R$ 1.800/dia,300 m²,4,5,3,Rua das Guarajubas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-ar-condicionado-jurere-internacional-florianopolis-300m2-id-2479517452/,aluguel,casa,2024-12-24 18:36:09
"Morro das Pedras, Florianópolis",R$ 5.900/mês,161 m²,4,3,2,Rodovia Francisco Thomaz dos Santos,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-morro-das-pedras-florianopolis-161m2-id-2757182414/,aluguel,casa,2024-12-24 18:36:09
"Canasvieiras, Florianópolis",R$ 1.400/dia,220 m²,6,3,4,Rua Apóstolo Paschoal,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-com-churrasqueira-canasvieiras-florianopolis-220m2-id-2230375596/,aluguel,casa,2024-12-24 18:36:09
"Vargem do Bom Jesus, Florianópolis",R$ 1.300/dia,250 m²,3,2,10,,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-vargem-do-bom-jesus-florianopolis-250m2-id-2763679713/,aluguel,casa,2024-12-24 18:36:09
"João Paulo, Florianópolis",R$ 25.000/mês,585 m²,6,6,8,Rua João Pio do Vale Pereira,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-com-piscina-joao-paulo-florianopolis-585m2-id-2747160325/,aluguel,casa,2024-12-24 18:36:09
"Vargem Grande, Florianópolis",R$ 1.850/mês,52 m²,2,1,1,Rua João Pacheco,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-vargem-grande-florianopolis-52m2-id-2765228631/,aluguel,casa,2024-12-24 18:36:09
"Jurerê, Florianópolis",R$ 4.500/dia,400 m²,6,7,2,Rua dos Cambuatas,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-mobiliado-jurere-florianopolis-400m2-id-2480844682/,aluguel,casa,2024-12-24 18:36:09
