titulo,valor,metragem,quartos,banheiros,vagas,endereco,link,categoria,tipo,timestamp
"Campeche, Florianópolis",R$ 770/dia,99 m²,2,2,1,Avenida Pequeno Príncipe,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-campeche-florianopolis-99m2-id-2756567819/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.350/dia,105 - 115 m²,3,2 - 3,2 - 3,Rua Rodolfo Hickel,,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.350/dia,105 - 115 m²,3,2 - 3,2 - 3,Rua Rodolfo Hickel,,aluguel,casa,2024-12-26 01:40:10
"Jardim Atlântico, Florianópolis",R$ 3.500/mês,110 m²,3,2,2,Servidão Manoel Reis,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-jardim-atlantico-florianopolis-110m2-id-2750332725/,aluguel,casa,2024-12-26 01:40:10
"Vargem do Bom Jesus, Florianópolis",R$ 1.300/dia,250 m²,3,2,10,,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-vargem-do-bom-jesus-florianopolis-250m2-id-2763679713/,aluguel,casa,2024-12-26 01:40:10
"Campeche, Florianópolis",R$ 4.500/mês,72 m²,2,2,1,Servidão Laura Duarte Prazeres,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-campeche-florianopolis-72m2-id-2758908120/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.400/dia,220 m²,6,3,4,Rua Apóstolo Paschoal,https://www.zapimoveis.com.br/imovel/aluguel-casa-6-quartos-com-churrasqueira-canasvieiras-florianopolis-220m2-id-2230375596/,aluguel,casa,2024-12-26 01:40:10
"Ingleses do Rio Vermelho, Florianópolis",R$ 2.500/mês,109 m²,2,1,1,Rua Paulina Marques dos Santos,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-ingleses-do-rio-vermelho-florianopolis-109m2-id-2712094102/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.590/dia,250 m²,4,4,4,Rua Jorge Mussi,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-canasvieiras-florianopolis-250m2-id-2514446477/,aluguel,casa,2024-12-26 01:40:10
"Rio Tavares, Florianópolis",R$ 1.950/mês,47 m²,1,1,1,Rua Mar do Leste,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-rio-tavares-florianopolis-47m2-id-2756229826/,aluguel,casa,2024-12-26 01:40:10
"Cachoeira do Bom Jesus, Florianópolis",R$ 1.100/dia,98 m²,2,1,3,Avenida Luiz Boiteux Piazza,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-2-quartos-mobiliado-cachoeira-do-bom-jesus-florianopolis-98m2-id-2743279878/,aluguel,casa,2024-12-26 01:40:10
"Morro das Pedras, Florianópolis",R$ 1.500/dia,230 m²,3,5,2,Rua dos Laranjais,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-morro-das-pedras-florianopolis-230m2-id-2749364068/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 1.500/dia,180 m²,5,3,2,Rua das Palombetas,https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-mobiliado-jurere-internacional-florianopolis-180m2-id-2540353313/,aluguel,casa,2024-12-26 01:40:10
"Jurerê Internacional, Florianópolis",R$ 1.290/dia,350 m²,4,4,4,Rua das Palombetas,https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-mobiliado-jurere-internacional-florianopolis-350m2-id-2664872307/,aluguel,casa,2024-12-26 01:40:10
"Centro, Florianópolis",R$ 3.900/mês,59 m²,1,1,1,Rua Cruz e Souza,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-condominio-1-quarto-centro-florianopolis-59m2-id-2748768001/,aluguel,casa,2024-12-26 01:40:10
"São João do Rio Vermelho, Florianópolis",R$ 4.200/mês,121 m²,2,3,2,Rua Lira,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-sao-joao-do-rio-vermelho-florianopolis-121m2-id-2748605830/,aluguel,casa,2024-12-26 01:40:10
"Canasvieiras, Florianópolis",R$ 1.000/dia,115 m²,3,3,2,Rua Vidal Ramos Neto,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-canasvieiras-florianopolis-115m2-id-2639508088/,aluguel,casa,2024-12-26 01:40:10
"Tapera da Base, Florianópolis",R$ 700/dia,64 m²,3,2,4,Servidão Aristides Valdemiro da Cunha,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-tapera-da-base-florianopolis-64m2-id-2761327720/,aluguel,casa,2024-12-26 01:40:10
